lic_cd,lic_nm,co_lic_cd,co_lic_nm,co_cnt
10133,컴퓨터활용능력2급,36068,SMAT(서비스경영자격),1547
10320,전자기기기능사,10330,정보처리기능사,1539
23441,GTQ포토샵2급,26812,정보기술자격(ITQ) 아래한글 A등급,1534
10390,한식조리기능사,9958,위생사,1529
10132,컴퓨터활용능력1급,10659,전기공사기사,1527
10133,컴퓨터활용능력2급,10683,정보처리산업기사,1520
10133,컴퓨터활용능력2급,9958,위생사,1512
11028,전산세무2급 (국가공인),14039,ERP 정보관리사 회계2급,1502
10104,전산회계운용사3급,11028,전산세무2급 (국가공인),1499
25805,정보기술자격(ITQ)한글파워포인트 A등급,33241,회계정보처리(FAT)1급 (국가공인),1498
10370,컴퓨터그래픽스운용기능사,9953,워드프로세서1급,1496
35054,데이터분석준전문가(ADsP),41192,빅데이터 분석기사,1493
10079,위험물산업기사,10606,수질환경기사,1492
23038,정보기술자격(ITQ)파워포인트 A등급,23041,정보기술자격(ITQ)엑셀A등급,1491
21625,정보기술자격(ITQ)인터넷 A등급,25805,정보기술자격(ITQ)한글파워포인트 A등급,1486
10329,정보기기운용기능사,11034,전산회계2급 (국가공인),1478
9954,워드프로세서2급,9955,워드프로세서3급,1475
32690,세무정보처리(TAT) 2급(국가공인),33241,회계정보처리(FAT)1급 (국가공인),1474
10330,정보처리기능사,11034,전산회계2급 (국가공인),1470
10132,컴퓨터활용능력1급,23440,GTQ포토샵1급,1466
11033,전산회계1급 (국가공인),33240,회계정보처리(FAT)2급 (국가공인),1459
10329,정보기기운용기능사,26812,정보기술자격(ITQ) 아래한글 A등급,1458
10133,컴퓨터활용능력2급,9955,워드프로세서3급,1458
10330,정보처리기능사,10682,정보처리기사,1456
10370,컴퓨터그래픽스운용기능사,33409,그래픽기술자격(GTQ) 1급,1456
30842,MOS Word 2010 Expert,30844,MOS Excel 2010 Expert,1456
11028,전산세무2급 (국가공인),9954,워드프로세서2급,1454
10133,컴퓨터활용능력2급,14555,회계관리2급(국가공인),1446
10330,정보처리기능사,10349,지게차운전기능사,1446
10171,가스기능사,10483,산업안전산업기사,1442
10316,전산응용기계제도기능사,10538,기계설계산업기사,1441
11028,전산세무2급 (국가공인),26756,ERP 회계 정보관리사 1급 (국가공인),1435
10349,지게차운전기능사,21759,컴퓨터응용밀링기능사,1434
30842,MOS Word 2010 Expert,30846,MOS PowerPoint 2010,1433
10594,소방설비기사(전기분야),10663,전기산업기사,1426
10132,컴퓨터활용능력1급,33241,회계정보처리(FAT)1급 (국가공인),1423
11033,전산회계1급 (국가공인),17069,사회복지사2급,1422
17266,유통관리사2급,9953,워드프로세서1급,1419
10079,위험물산업기사,10753,화공기사,1413
11033,전산회계1급 (국가공인),17253,정보기술자격(ITQ) 한글파워포인트,1411
25804,정보기술자격(ITQ)한글엑셀 A등급,27499,ERP 인사 정보관리사 2급(국가공인),1409
10579,산업안전기사,21238,전기기능사,1409
25804,정보기술자격(ITQ)한글엑셀 A등급,9908,간호조무사,1409
10329,정보기기운용기능사,10349,지게차운전기능사,1408
32510,병원코디네이터 1급,9908,간호조무사,1404
11033,전산회계1급 (국가공인),27498,ERP 인사 정보관리사 1급(국가공인),1404
10133,컴퓨터활용능력2급,21256,소방안전관리자2급,1404
10133,컴퓨터활용능력2급,22011,CS Leaders(관리사),1397
10273,실내건축기능사,10315,전산응용건축제도기능사,1396
10133,컴퓨터활용능력2급,32689,회계정보처리(FAT) 1급,1394
11033,전산회계1급 (국가공인),27194,ERP 회계 정보관리사 2급 (국가공인),1392
10349,지게차운전기능사,24233,용접기능사,1389
10132,컴퓨터활용능력1급,11034,전산회계2급 (국가공인),1388
10132,컴퓨터활용능력1급,17266,유통관리사2급,1388
10079,위험물산업기사,10163,화학분석기사,1388
14548,요양보호사,17069,사회복지사2급,1384
11028,전산세무2급 (국가공인),14555,회계관리2급(국가공인),1383
11028,전산세무2급 (국가공인),27193,ERP 회계 정보관리사 2급 (국가공인),1382
33240,회계정보처리(FAT)2급 (국가공인),33241,회계정보처리(FAT)1급 (국가공인),1370
26812,정보기술자격(ITQ) 아래한글 A등급,33409,그래픽기술자격(GTQ) 1급,1369
10133,컴퓨터활용능력2급,18184,보육교사2급,1363
10483,산업안전산업기사,10663,전기산업기사,1362
10079,위험물산업기사,10496,가스산업기사,1354
10349,지게차운전기능사,21118,위험물기능사,1349
10171,가스기능사,10349,지게차운전기능사,1348
10881,병원행정사,39869,보건의료정보관리사,1347
10133,컴퓨터활용능력2급,32690,세무정보처리(TAT) 2급(국가공인),1347
10660,전기공사산업기사,10663,전기산업기사,1346
10079,위험물산업기사,10594,소방설비기사(전기분야),1339
11033,전산회계1급 (국가공인),27288,한국사능력검정시험 2급,1335
10079,위험물산업기사,27287,한국사능력검정시험 1급,1333
27194,ERP 회계 정보관리사 2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),1331
23440,GTQ포토샵1급,9953,워드프로세서1급,1319
11033,전산회계1급 (국가공인),21080,정보기술자격(ITQ)OA마스터,1319
10335,제빵기능사,17228,바리스타2급,1318
23346,정보기술자격(ITQ)한글파워포인트 B등급,25804,정보기술자격(ITQ)한글엑셀 A등급,1316
11033,전산회계1급 (국가공인),17299,정보기술자격(ITQ) 한글엑셀,1316
10079,위험물산업기사,10397,화학분석기능사,1316
10133,컴퓨터활용능력2급,23441,GTQ포토샵2급,1314
11034,전산회계2급 (국가공인),9908,간호조무사,1307
10133,컴퓨터활용능력2급,23038,정보기술자격(ITQ)파워포인트 A등급,1307
11033,전산회계1급 (국가공인),9908,간호조무사,1305
23368,BLS PROVIDER,34230,KALS-Provider,1300
10133,컴퓨터활용능력2급,32485,GAIQ(Google Analytics Individual Qualification),1294
10014,무역영어1급,17266,유통관리사2급,1286
10133,컴퓨터활용능력2급,35054,데이터분석준전문가(ADsP),1281
10134,컴퓨터활용능력3급,9955,워드프로세서3급,1278
10594,소방설비기사(전기분야),21238,전기기능사,1274
10133,컴퓨터활용능력2급,10616,식품기사,1274
10579,산업안전기사,10593,소방설비기사(기계분야),1273
10266,승강기기능사,10349,지게차운전기능사,1272
10079,위험물산업기사,10171,가스기능사,1272
10349,지게차운전기능사,28969,기중기운전기능사,1271
11033,전산회계1급 (국가공인),23440,GTQ포토샵1급,1269
10171,가스기능사,10192,공조냉동기계기능사,1268
27287,한국사능력검정시험 1급,35054,데이터분석준전문가(ADsP),1266
10579,산업안전기사,9953,워드프로세서1급,1264
10133,컴퓨터활용능력2급,10483,산업안전산업기사,1263
10133,컴퓨터활용능력2급,10320,전자기기기능사,1260
11033,전산회계1급 (국가공인),27097,ERP생산정보관리사 2급,1258
10319,전자계산기기능사,10320,전자기기기능사,1258
21625,정보기술자격(ITQ)인터넷 A등급,25804,정보기술자격(ITQ)한글엑셀 A등급,1254
10330,정보처리기능사,21238,전기기능사,1248
10104,전산회계운용사3급,10330,정보처리기능사,1242
10103,전산회계운용사2급,11028,전산세무2급 (국가공인),1238
17069,사회복지사2급,26812,정보기술자격(ITQ) 아래한글 A등급,1229
10329,정보기기운용기능사,9908,간호조무사,1226
10330,정보처리기능사,25804,정보기술자격(ITQ)한글엑셀 A등급,1225
10133,컴퓨터활용능력2급,27097,ERP생산정보관리사 2급,1225
11028,전산세무2급 (국가공인),14047,기업회계3급,1225
23368,BLS PROVIDER,35861,간호사,1223
10133,컴퓨터활용능력2급,17228,바리스타2급,1222
17069,사회복지사2급,21078,요양보호사1급,1213
28267,SQL개발자(SQLD자격),41192,빅데이터 분석기사,1211
10330,정보처리기능사,10370,컴퓨터그래픽스운용기능사,1209
10330,정보처리기능사,25805,정보기술자격(ITQ)한글파워포인트 A등급,1208
25805,정보기술자격(ITQ)한글파워포인트 A등급,27499,ERP 인사 정보관리사 2급(국가공인),1207
10104,전산회계운용사3급,27499,ERP 인사 정보관리사 2급(국가공인),1206
10133,컴퓨터활용능력2급,35861,간호사,1206
10191,공유압기능사,21238,전기기능사,1204
10333,제과기능사,17228,바리스타2급,1197
10171,가스기능사,21118,위험물기능사,1195
10407,생산자동화기능사,21238,전기기능사,1194
25805,정보기술자격(ITQ)한글파워포인트 A등급,9954,워드프로세서2급,1193
11034,전산회계2급 (국가공인),27193,ERP 회계 정보관리사 2급 (국가공인),1189
10579,산업안전기사,21256,소방안전관리자2급,1189
9908,간호조무사,9953,워드프로세서1급,1188
10483,산업안전산업기사,10496,가스산업기사,1181
10349,지게차운전기능사,23637,위험물안전관리자,1176
10133,컴퓨터활용능력2급,28267,SQL개발자(SQLD자격),1175
26812,정보기술자격(ITQ) 아래한글 A등급,32882,그래픽기술자격(GTQ) 2급,1173
10390,한식조리기능사,23655,위생사면허증,1172
10014,무역영어1급,9926,물류관리사,1167
10335,제빵기능사,10348,중식조리기능사,1166
14039,ERP 정보관리사 회계2급,26812,정보기술자격(ITQ) 아래한글 A등급,1160
25804,정보기술자격(ITQ)한글엑셀 A등급,31901,워드프로세서 단일등급,1159
10079,위험물산업기사,10399,환경기능사,1158
17266,유통관리사2급,27287,한국사능력검정시험 1급,1157
27288,한국사능력검정시험 2급,9953,워드프로세서1급,1156
10079,위험물산업기사,21118,위험물기능사,1155
10349,지게차운전기능사,10626,에너지관리기능사,1154
10133,컴퓨터활용능력2급,10482,사회조사분석사2급,1154
33241,회계정보처리(FAT)1급 (국가공인),9953,워드프로세서1급,1151
10349,지게차운전기능사,9954,워드프로세서2급,1147
10571,사무자동화산업기사,27287,한국사능력검정시험 1급,1146
17253,정보기술자격(ITQ) 한글파워포인트,25804,정보기술자격(ITQ)한글엑셀 A등급,1141
